x,ie,t,V,r,w,lbl
2.6551724137931036,5,2,-1.3259725721303526,0.15,5.5,e₅
2.6551724137931036,5,3,-1.192647512296852,0.15,5.5,e₅
2.6551724137931036,5,4,-1.0548025400962906,0.15,5.5,e₅
2.6551724137931036,5,5,-0.911113130660935,0.15,5.5,e₅
2.6551724137931036,5,6,-0.7617491398293648,0.15,5.5,e₅
2.6551724137931036,5,7,-0.606796061184002,0.15,5.5,e₅
2.6551724137931036,5,8,-0.4467901692105047,0.15,5.5,e₅
2.6551724137931036,5,9,-0.2830735598675186,0.15,5.5,e₅
2.6551724137931036,5,10,-0.12017308950086537,0.15,5.5,e₅
2.6551724137931036,10,1,-1.189452267700887,0.15,5.5,e₁₀
2.6551724137931036,10,2,-1.0818912633559532,0.15,5.5,e₁₀
2.6551724137931036,10,3,-0.9714202725264844,0.15,5.5,e₁₀
2.6551724137931036,10,4,-0.8579833589506508,0.15,5.5,e₁₀
2.6551724137931036,10,5,-0.7412066190647483,0.15,5.5,e₁₀
2.6551724137931036,10,6,-0.6201511371875171,0.15,5.5,e₁₀
2.6551724137931036,10,7,-0.49497337608766534,0.15,5.5,e₁₀
2.6551724137931036,10,8,-0.3659877112111857,0.15,5.5,e₁₀
2.6551724137931036,10,9,-0.23406914567276987,0.15,5.5,e₁₀
2.6551724137931036,10,10,-0.10205260836416297,0.15,5.5,e₁₀
2.7896551724137932,1,1,-1.6935630527073982,0.15,5.5,e₁
2.7896551724137932,1,2,-1.544782904285044,0.15,5.5,e₁
2.7896551724137932,1,3,-1.3907267439744724,0.15,5.5,e₁
2.7896551724137932,1,4,-1.2296413984796177,0.15,5.5,e₁
2.7896551724137932,1,5,-1.061391748080666,0.15,5.5,e₁
2.7896551724137932,1,6,-0.8860065399132647,0.15,5.5,e₁
2.7896551724137932,1,7,-0.703730930143854,0.15,5.5,e₁
2.7896551724137932,1,8,-0.515273260599578,0.15,5.5,e₁
2.7896551724137932,1,9,-0.3225878963950682,0.15,5.5,e₁
2.7896551724137932,1,10,-0.13285299229205885,0.15,5.5,e₁
2.7896551724137932,5,1,-1.4494388113634415,0.15,5.5,e₅
2.7896551724137932,5,2,-1.320116388904128,0.15,5.5,e₅
2.7896551724137932,5,3,-1.1867913300034425,0.15,5.5,e₅
2.7896551724137932,5,4,-1.0491401838223828,0.15,5.5,e₅
2.7896551724137932,5,5,-0.9058261857034388,0.15,5.5,e₅
2.7896551724137932,5,6,-0.7568076690792493,0.15,5.5,e₅
2.7896551724137932,5,7,-0.6022660785765652,0.15,5.5,e₅
2.7896551724137932,5,8,-0.44280597269523275,0.15,5.5,e₅
2.7896551724137932,5,9,-0.27971794837653347,0.15,5.5,e₅
2.7896551724137932,5,10,-0.11798037817473987,0.15,5.5,e₅
2.7896551724137932,10,1,-1.1858071352773532,0.15,5.5,e₁₀
2.7896551724137932,10,2,-1.0782461309324194,0.15,5.5,e₁₀
2.7896551724137932,10,3,-0.9677751401029507,0.15,5.5,e₁₀
2.7896551724137932,10,4,-0.8543382265271171,0.15,5.5,e₁₀
2.7896551724137932,10,5,-0.7376915127386684,0.15,5.5,e₁₀
2.7896551724137932,10,6,-0.6168847556508391,0.15,5.5,e₁₀
2.7896551724137932,10,7,-0.49196307661100125,0.15,5.5,e₁₀
2.7896551724137932,10,8,-0.3633028161494263,0.15,5.5,e₁₀
2.7896551724137932,10,9,-0.23180351123571458,0.15,5.5,e₁₀
2.7896551724137932,10,10,-0.10046694225726335,0.15,5.5,e₁₀
2.924137931034483,1,1,-1.6853271107732306,0.15,5.5,e₁
2.924137931034483,1,2,-1.5365469623508765,0.15,5.5,e₁
2.924137931034483,1,3,-1.3825934613696054,0.15,5.5,e₁
2.924137931034483,1,4,-1.2219717909287913,0.15,5.5,e₁
2.924137931034483,1,5,-1.0541663441405842,0.15,5.5,e₁
2.924137931034483,1,6,-0.879319295750911,0.15,5.5,e₁
2.924137931034483,1,7,-0.6976634442011367,0.15,5.5,e₁
2.924137931034483,1,8,-0.509911649559731,0.15,5.5,e₁
2.924137931034483,1,9,-0.3182777827037881,0.15,5.5,e₁
2.924137931034483,1,10,-0.13017829662218758,0.15,5.5,e₁
2.924137931034483,5,1,-1.4436987321893107,0.15,5.5,e₅
2.924137931034483,5,2,-1.3143763097299974,0.15,5.5,e₅
2.924137931034483,5,3,-1.1810512508293118,0.15,5.5,e₅
2.924137931034483,5,4,-1.0435278294310617,0.15,5.5,e₅
2.924137931034483,5,5,-0.900585354753522,0.15,5.5,e₅
2.924137931034483,5,6,-0.751913430482902,0.15,5.5,e₅
2.924137931034483,5,7,-0.5978267710987013,0.15,5.5,e₅
2.924137931034483,5,8,-0.4388677847740404,0.15,5.5,e₅
2.924137931034483,5,9,-0.27648733238065115,0.15,5.5,e₅
2.924137931034483,5,10,-0.11586625061838055,0.15,5.5,e₅
2.924137931034483,10,1,-1.1821870696958856,0.15,5.5,e₁₀
2.924137931034483,10,2,-1.074626065350952,0.15,5.5,e₁₀
2.924137931034483,10,3,-0.9641550745214833,0.15,5.5,e₁₀
2.924137931034483,10,4,-0.8507181609456497,0.15,5.5,e₁₀
2.924137931034483,10,5,-0.734201835225469,0.15,5.5,e₁₀
2.924137931034483,10,6,-0.6136446206860974,0.15,5.5,e₁₀
2.924137931034483,10,7,-0.4889849712020091,0.15,5.5,e₁₀
2.924137931034483,10,8,-0.3606391261839631,0.15,5.5,e₁₀
2.924137931034483,10,9,-0.22955255561057136,0.15,5.5,e₁₀
2.924137931034483,10,10,-0.09892979754876413,0.15,5.5,e₁₀
3.0586206896551724,1,1,-1.677285848586772,0.15,5.5,e₁
3.0586206896551724,1,2,-1.528505700164418,0.15,5.5,e₁
3.0586206896551724,1,3,-1.3745771502076174,0.15,5.5,e₁
3.0586206896551724,1,4,-1.2143939871176002,0.15,5.5,e₁
3.0586206896551724,1,5,-1.0470608385344826,0.15,5.5,e₁
3.0586206896551724,1,6,-0.8727221699646437,0.15,5.5,e₁
3.0586206896551724,1,7,-0.6916829833530878,0.15,5.5,e₁
3.0586206896551724,1,8,-0.5047381400037203,0.15,5.5,e₁
3.0586206896551724,1,9,-0.3140652904709452,0.15,5.5,e₁
